"id","formula_masters_id","topic_number","topic_txt","users_id","created_at","updated_at"
"89","MF2212014","9","9.1 นำเนื้อครีมสีขาว (กลิ่น Dry Skin REV.Fragance) บรรจุลงกระปุกสีขาว ขนาด 30 กรัม ปริมาณ 30 กรัม /กรัม\n9.2 นำฝาปิดกระปุก (สีขาว) วางปิดกระปุกให้สนิท\n9.3 นำฝาหมุน (สีขาว) หมุนปิดกระปุกสีขาว ขนาด 30กรัม ให้แน่นสนิท\n9.4 นำฉลาก (สีม่วง) ติดรอบกระปุก\n9.5 บรรจุลงกล่อง (สีม่วง) โดยให้ด้านหน้ากระปุกหันไปทางเดียวกับด้านหน้ากล่อง\n9.6 ซริ้งค์ฟิส์มที่กล่อง โดยใช้เครื่องอุโมงค์ความร้อน\n9.7 บรรจุลงลังเปลือยใหญ่ ขนาด28.5(ก)*42.2(ย)*31.5(ส) ซม.","19","2022-12-12 04:46:32","2024-02-27 08:01:32"
"90","MF2212014","11","จัดเก็บใน shipping packaging หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-12 06:04:20","2022-12-12 06:04:20"
"91","MF2212014","12","-","1","2022-12-12 06:04:23","2022-12-12 06:04:23"
"92","MF2212014","6","กระปุกสีขาว ขนาด 30 กรัม","1","2022-12-12 06:06:53","2022-12-12 06:06:53"
"93","MF2212016","9","9.1 บรรจุเนื้อเซรั่ม สีขาวขุ่น ลงขวดแก้ว(สกรีนสีชมพู) ขนาด 21 มล. ปริมาณ 21 กรัม/ขวด\n9.2 ประกอบจุกยาง(สีขา)/วาลฺว(สีขาว)/แท่งแก้ว(สีใส)เข้าด้วยกัน และหมุนปิดขวดแก้วสีขาว(สกรีนสีชมพู) ให้แน่นสนิท กรณีมีคราบเลอะให้เช็ดทำความสะอาดให้คราบหมด ก่อนเรียงใส่ตะกร้า \n9.3 บรรจุลงกล่อง(สีชมพู-ขาว) โดยให้พับด้านหน้าขวดไปทางเดียวกันกับด้านหน้ากล่อง\n9.4 ชริ้งฟิล์มที่กล่อง โดยใช้เครื่องอุโมงค์ความร้อน\n9.5 บรรจุลงลังลูกค้า (ลังใหญ่สีชมพู) แล้วนำบับเบิ้ลวางปิดหน้าลัง ก่อนปิดปากลัง","1","2022-12-12 06:10:58","2022-12-12 06:15:17"
"94","MF2212020","5","จัดเก็บในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-12 06:29:08","2022-12-12 06:29:41"
"95","MF2212020","6","ขวดขุ่น+จุกใน+ฝาหมุนสีขาว","19","2022-12-12 06:29:49","2023-06-27 02:26:05"
"96","MF2212020","9","9.1 นำของเหลวใส บรรจุลงขวดสีขาวนม ขนาด45 มล. ปริมาณ 45 กรัม/ขวด\n9.2 นำจุกในกดปิดที่ขวดสีขาวนม ขนาด 45 มล. ให้แน่นสนิท\n9.3 นำฝาหมุนสีขาวนม หมุนปิดขวดสีขาวนม ขนาด 45 มล. ให้สนิท\n9.4 นำฉลาก (สีม่วง) ติดรอบขวดสีขาวนม ขนาด 45 มล.\n9.5 บรรจุขวดลงกล่อง และนำชุดถุงมือลงกล่อง จำนวน 1 ชิ้น/กล่อง\n9.6 ชริ้งค์ฟิล์มที่กล่อง โดยใช้เครื่องอุโมงค์ความร้อน\n9.7 บรรจุลงลังเปลือยใหญ่ ขนาด 28.3(ก)*42.2(ย)*31.5(ส)ซม","1","2022-12-12 06:31:18","2022-12-12 06:31:18"
"97","MF2212020","11","จัดเก็บใน shipping packaging หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-12 06:31:47","2022-12-12 06:31:47"
"98","MF2212020","12","หลีกเลี่ยงการสัมผัสเนื้อ Bulk โดยตรง ควรสวมถุงมือและแว่นนิรภัยทุกครั้ง","1","2022-12-12 06:33:23","2022-12-12 06:33:23"
"99","MF2212021","5","จัดเก็บในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-12 07:39:46","2022-12-12 07:39:54"
"100","MF2212021","6","หลอดทรงสูง","1","2022-12-12 07:40:09","2022-12-12 07:40:09"
"101","MF2212021","9","9.1 บรรจุเนื้อครีมสีขาว ลงในหลอดอะคริลิค (สีขาว ชมพู) ปริมาณสุทธิ 48.80 กรัม/หลอด\n9.2 ปิดฝาครอบ (สีชมพู) ลงบนหัวปั๊มสูญญากาศ (สีขาว)\n9.3 หมุนตัวกดหัวปั๊มให้อยู่ด้านหน้าของหลอด และกดชุดหัวปั๊มสูญญากาล (สีขาว) ให้แน่นสนิท\n9.4 บรรจุลงกล่องสีชมพู โดยให้ด้านหน้าหลอดไปทางเดียวกับด้านหน้ากล่อง\n9.5 ชริ้งค์ฟิล์มที่กล่อง โดยใช้เครื่องอุโมงค์ความร้อน\n9.6 หลังชริ้งค์เสร็จติดฉลาก สคบ. พื้นที่ว่างข้างกล่องด้านซ้ายมือ\n9.7 บรรจุลงลังลูกค้า","19","2022-12-12 08:07:42","2023-07-21 06:44:37"
"102","MF2212021","11","จัดเก็บใน shipping packaging หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-12 08:15:43","2022-12-12 08:15:43"
"103","MF2212021","12","-","1","2022-12-12 08:15:50","2022-12-12 08:15:50"
"104","MF2212022","5","จัดเก็บในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-12 08:47:10","2022-12-12 08:47:10"
"105","MF2212022","6","หลอดทรงสูง","1","2022-12-12 08:47:19","2022-12-12 08:47:19"
